"","LIVER","TransferredDose_IMRT_Field5"
"Absolute Dose(Gy)","Liver (1) (Volume: 2225.8 mL)"
"0.00","100.0"
"0.10","99.82881"
"0.20","91.29312"
"0.30","78.36881"
"0.40","69.42111"
"0.50","63.70317"
"0.60","59.77603"
"0.70","56.24307"
"0.80","52.95198"
"0.90","50.07603"
"1.00","47.52296"
"1.10","45.34417"
"1.20","43.53686"
"1.30","42.03047"
"1.40","40.73578"
"1.50","39.65824"
"1.60","38.73944"
"1.70","37.9339"
"1.80","37.24913"
"1.90","36.64213"
"2.00","36.09267"
"2.10","35.62485"
"2.20","35.20547"
"2.30","34.82944"
"2.40","34.49776"
"2.50","34.21108"
"2.60","33.9495"
"2.70","33.69813"
"2.80","33.45791"
"2.90","33.23955"
"3.00","33.03631"
"3.10","32.83954"
"3.20","32.64995"
"3.30","32.46942"
"3.40","32.29145"
"3.50","32.12053"
"3.60","31.95758"
"3.70","31.79615"
"3.80","31.6375"
"3.90","31.48"
"4.00","31.32388"
"4.10","31.1684"
"4.20","30.98292"
"4.30","30.7591"
"4.40","30.5083"
"4.50","30.2134"
"4.60","29.87602"
"4.70","29.47124"
"4.80","29.02181"
"4.90","28.54668"
"5.00","28.04677"
"5.10","27.51212"
"5.20","26.93285"
"5.30","26.35682"
"5.40","25.77315"
"5.50","25.19098"
"5.60","24.61909"
"5.70","24.04755"
"5.80","23.48267"
"5.90","22.93119"
"6.00","22.40177"
"6.10","21.8819"
"6.20","21.37206"
"6.30","20.86985"
"6.40","20.3774"
"6.50","19.899"
"6.60","19.42455"
"6.70","18.9692"
"6.80","18.51947"
"6.90","18.08944"
"7.00","17.68951"
"7.10","17.32017"
"7.20","16.97714"
"7.30","16.65066"
"7.40","16.3317"
"7.50","16.04244"
"7.60","15.77229"
"7.70","15.52308"
"7.80","15.29033"
"7.90","15.07164"
"8.00","14.87324"
"8.10","14.68823"
"8.20","14.51232"
"8.30","14.34863"
"8.40","14.19661"
"8.50","14.05138"
"8.60","13.91049"
"8.70","13.77545"
"8.80","13.64229"
"8.90","13.51442"
"9.00","13.39317"
"9.10","13.27484"
"9.20","13.15604"
"9.30","13.03942"
"9.40","12.92066"
"9.50","12.80337"
"9.60","12.6848"
"9.70","12.56641"
"9.80","12.44976"
"9.90","12.3345"
"10.00","12.21824"
"10.10","12.10181"
"10.20","11.98447"
"10.30","11.86721"
"10.40","11.74393"
"10.50","11.61955"
"10.60","11.49632"
"10.70","11.37183"
"10.80","11.24674"
"10.90","11.12131"
"11.00","10.99549"
"11.10","10.8684"
"11.20","10.73599"
"11.30","10.60635"
"11.40","10.48081"
"11.50","10.35114"
"11.60","10.22128"
"11.70","10.08713"
"11.80","9.95043"
"11.90","9.80986"
"12.00","9.66131"
"12.10","9.5075"
"12.20","9.34399"
"12.30","9.17545"
"12.40","9.00115"
"12.50","8.81913"
"12.60","8.63118"
"12.70","8.4426"
"12.80","8.25365"
"12.90","8.06588"
"13.00","7.87953"
"13.10","7.68941"
"13.20","7.49615"
"13.30","7.30843"
"13.40","7.12332"
"13.50","6.93478"
"13.60","6.74658"
"13.70","6.5682"
"13.80","6.3961"
"13.90","6.22471"
"14.00","6.0579"
"14.10","5.8906"
"14.20","5.71936"
"14.30","5.55089"
"14.40","5.38346"
"14.50","5.21439"
"14.60","5.0475"
"14.70","4.88135"
"14.80","4.71333"
"14.90","4.54488"
"15.00","4.38044"
"15.10","4.22129"
"15.20","4.06051"
"15.30","3.89641"
"15.40","3.73544"
"15.50","3.57631"
"15.60","3.41968"
"15.70","3.26408"
"15.80","3.10931"
"15.90","2.95716"
"16.00","2.80795"
"16.10","2.65805"
"16.20","2.51345"
"16.30","2.37165"
"16.40","2.23112"
"16.50","2.09551"
"16.60","1.96319"
"16.70","1.83438"
"16.80","1.71037"
"16.90","1.59388"
"17.00","1.48158"
"17.10","1.37694"
"17.20","1.27901"
"17.30","1.18666"
"17.40","1.10104"
"17.50","1.02295"
"17.60","0.95347"
"17.70","0.89094"
"17.80","0.83339"
"17.90","0.78059"
"18.00","0.72987"
"18.10","0.68068"
"18.20","0.63411"
"18.30","0.59042"
"18.40","0.55039"
"18.50","0.51224"
"18.60","0.47539"
"18.70","0.44035"
"18.80","0.40699"
"18.90","0.37625"
"19.00","0.34905"
"19.10","0.32335"
"19.20","0.29884"
"19.30","0.27488"
"19.40","0.25109"
"19.50","0.22842"
"19.60","0.20677"
"19.70","0.18625"
"19.80","0.16749"
"19.90","0.15083"
"20.00","0.13587"
"20.10","0.12189"
"20.20","0.10881"
"20.30","0.0967"
"20.40","0.08514"
"20.50","0.07468"
"20.60","0.06549"
"20.70","0.05732"
"20.80","0.05056"
"20.90","0.0449"
"21.00","0.0401"
"21.10","0.03579"
"21.20","0.03157"
"21.30","0.02782"
"21.40","0.02448"
"21.50","0.02196"
"21.60","0.01946"
"21.70","0.01713"
"21.80","0.01485"
"21.90","0.01257"
"22.00","0.01037"
"22.10","0.00845"
"22.20","0.00676"
"22.30","0.00514"
"22.40","0.00385"
"22.50","0.00263"
"22.60","0.00178"
"22.70","0.00106"
"22.80","5.2E-4"
"22.90","3.4E-4"
"23.00","1.3E-4"
"23.10","3.0E-5"
"23.20","0.0"
