"","LIVER, MALE2","TransferredDose_IMRT_F4"
"Absolute Dose(Gy)","Liver (1) (Volume: 2225.8 mL)"
"0.00","100.0"
"0.10","100.0"
"0.20","98.73032"
"0.30","94.69991"
"0.40","90.11463"
"0.50","86.84264"
"0.60","84.23087"
"0.70","81.93167"
"0.80","80.18228"
"0.90","78.59805"
"1.00","77.02498"
"1.10","75.68331"
"1.20","74.50857"
"1.30","73.31856"
"1.40","72.23463"
"1.50","71.22801"
"1.60","70.28803"
"1.70","69.40895"
"1.80","68.54057"
"1.90","67.68093"
"2.00","66.78804"
"2.10","65.76252"
"2.20","64.4648"
"2.30","63.20414"
"2.40","61.96976"
"2.50","60.73982"
"2.60","59.48398"
"2.70","58.20204"
"2.80","56.87958"
"2.90","55.50279"
"3.00","54.02688"
"3.10","52.5168"
"3.20","50.99097"
"3.30","49.64737"
"3.40","48.40351"
"3.50","47.215"
"3.60","46.07752"
"3.70","44.98069"
"3.80","43.92923"
"3.90","42.91976"
"4.00","41.92684"
"4.10","40.96435"
"4.20","40.00949"
"4.30","39.06735"
"4.40","38.11375"
"4.50","37.16417"
"4.60","36.19801"
"4.70","35.23355"
"4.80","34.30283"
"4.90","33.43837"
"5.00","32.65235"
"5.10","31.8991"
"5.20","31.17587"
"5.30","30.47068"
"5.40","29.7814"
"5.50","29.11388"
"5.60","28.46052"
"5.70","27.81472"
"5.80","27.16735"
"5.90","26.51459"
"6.00","25.8569"
"6.10","25.19898"
"6.20","24.53774"
"6.30","23.87248"
"6.40","23.19352"
"6.50","22.4929"
"6.60","21.79224"
"6.70","21.09833"
"6.80","20.40645"
"6.90","19.70387"
"7.00","18.99019"
"7.10","18.26304"
"7.20","17.53466"
"7.30","16.79639"
"7.40","16.08266"
"7.50","15.38906"
"7.60","14.72693"
"7.70","14.09747"
"7.80","13.5066"
"7.90","12.9585"
"8.00","12.45207"
"8.10","11.98132"
"8.20","11.54435"
"8.30","11.13844"
"8.40","10.75293"
"8.50","10.38489"
"8.60","10.03691"
"8.70","9.71685"
"8.80","9.45531"
"8.90","9.22874"
"9.00","9.02455"
"9.10","8.83272"
"9.20","8.64968"
"9.30","8.47557"
"9.40","8.30728"
"9.50","8.1429"
"9.60","7.98153"
"9.70","7.82217"
"9.80","7.66356"
"9.90","7.50546"
"10.00","7.34646"
"10.10","7.18873"
"10.20","7.03224"
"10.30","6.87543"
"10.40","6.71924"
"10.50","6.5618"
"10.60","6.4026"
"10.70","6.24176"
"10.80","6.07808"
"10.90","5.91162"
"11.00","5.74297"
"11.10","5.57249"
"11.20","5.39779"
"11.30","5.21994"
"11.40","5.03842"
"11.50","4.85212"
"11.60","4.66216"
"11.70","4.468"
"11.80","4.26977"
"11.90","4.06897"
"12.00","3.86562"
"12.10","3.66073"
"12.20","3.45464"
"12.30","3.24917"
"12.40","3.04504"
"12.50","2.84159"
"12.60","2.64173"
"12.70","2.44426"
"12.80","2.24853"
"12.90","2.05555"
"13.00","1.8652"
"13.10","1.67776"
"13.20","1.49474"
"13.30","1.31672"
"13.40","1.14273"
"13.50","0.97487"
"13.60","0.81538"
"13.70","0.66634"
"13.80","0.52971"
"13.90","0.40785"
"14.00","0.30703"
"14.10","0.22834"
"14.20","0.16525"
"14.30","0.11452"
"14.40","0.07407"
"14.50","0.04301"
"14.60","0.02104"
"14.70","0.0074"
"14.80","0.00205"
"14.90","2.1E-4"
"15.00","0.0"
